time,symbol,open,high,low,close,pat_score,pat_bias,pat_name,pat_engulfing,pat_doji,pat_hammer,pat_shooting_star,pat_harami,pat_morning_star,pat_evening_star,pat_marubozu
2026-07-22 02:00:00,EURUSD,1.13992,1.13996,1.13978,1.13991,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-22 02:15:00,EURUSD,1.13992,1.13997,1.13987,1.13991,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 02:30:00,EURUSD,1.13992,1.14008,1.13992,1.14007,100.0,1,pat_marubozu=100,0,0,0,0,0,0,0,100
2026-07-22 02:45:00,EURUSD,1.14006,1.14024,1.14,1.14022,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 03:00:00,EURUSD,1.14022,1.14041,1.14011,1.14038,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 03:15:00,EURUSD,1.14039,1.14073,1.14034,1.14067,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 03:30:00,EURUSD,1.14068,1.14072,1.14026,1.14034,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-22 03:45:00,EURUSD,1.14034,1.14044,1.14016,1.1404,100.0,1,pat_hammer=100,0,0,100,0,0,0,0,0
2026-07-22 04:00:00,EURUSD,1.14041,1.14067,1.14039,1.14058,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 04:15:00,EURUSD,1.14057,1.14063,1.14023,1.14035,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 04:30:00,EURUSD,1.14035,1.14038,1.13989,1.14011,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 04:45:00,EURUSD,1.14011,1.1403,1.1401,1.14029,100.0,1,"pat_harami=100,pat_marubozu=100",0,0,0,0,100,0,0,100
2026-07-22 05:00:00,EURUSD,1.14029,1.1405,1.14011,1.14046,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 05:15:00,EURUSD,1.14045,1.141,1.14039,1.14078,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 05:30:00,EURUSD,1.14077,1.14083,1.14063,1.14072,-100.0,-1,pat_harami=-100,0,0,0,0,-100,0,0,0
2026-07-22 05:45:00,EURUSD,1.14072,1.14086,1.14054,1.14056,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 06:00:00,EURUSD,1.14054,1.14074,1.14041,1.14056,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-22 06:15:00,EURUSD,1.14056,1.14079,1.14056,1.14076,100.0,1,pat_marubozu=100,0,0,0,0,0,0,0,100
2026-07-22 06:30:00,EURUSD,1.14076,1.14078,1.14058,1.14062,-100.0,-1,pat_harami=-100,0,0,0,0,-100,0,0,0
2026-07-22 06:45:00,EURUSD,1.14063,1.14075,1.14057,1.14074,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 07:00:00,EURUSD,1.14073,1.14074,1.14049,1.14058,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 07:15:00,EURUSD,1.14058,1.14074,1.14057,1.14074,100.0,1,"pat_engulfing=100,pat_harami=100,pat_marubozu=100",100,0,0,0,100,0,0,100
2026-07-22 07:30:00,EURUSD,1.14073,1.14086,1.1407,1.14083,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 07:45:00,EURUSD,1.14083,1.14084,1.14073,1.14084,100.0,1,"pat_doji=100,pat_hammer=100",0,100,100,0,0,0,0,0
2026-07-22 08:00:00,EURUSD,1.14084,1.14094,1.14076,1.14081,-100.0,-1,pat_engulfing=-100,-100,0,0,0,0,0,0,0
2026-07-22 08:15:00,EURUSD,1.14081,1.14095,1.14071,1.14072,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 08:30:00,EURUSD,1.14071,1.14076,1.14055,1.14074,100.0,1,pat_hammer=100,0,0,100,0,0,0,0,0
2026-07-22 08:45:00,EURUSD,1.14073,1.14096,1.14061,1.14095,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 09:00:00,EURUSD,1.14094,1.14138,1.14088,1.14112,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 09:15:00,EURUSD,1.1411,1.14122,1.14074,1.14084,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 09:30:00,EURUSD,1.14086,1.14117,1.1407,1.14112,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 09:45:00,EURUSD,1.14112,1.14123,1.14082,1.14122,100.0,1,pat_hammer=100,0,0,100,0,0,0,0,0
2026-07-22 10:00:00,EURUSD,1.14121,1.14131,1.14087,1.14125,100.0,1,pat_doji=100,0,100,0,0,0,0,0,0
2026-07-22 10:15:00,EURUSD,1.14125,1.14152,1.14107,1.14131,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 10:30:00,EURUSD,1.1413,1.14183,1.14057,1.14066,0.0,0,none,0,0,0,0,0,0,0,0
2026-07-22 10:45:00,EURUSD,1.14065,1.14112,1.14034,1.14094,0.0,0,none,0,0,0,0,0,0,0,0
